#datatype measurement,dateTime:RFC3339,float,float,double
speed,msgTime,latitude,longitude,gpsSpeed
speed,2021-08-18T17:11:49Z,41.20311,29.0698,13.1
speed,2021-08-18T17:11:45Z,41.20335,29.06969,14.1
speed,2021-08-18T17:11:40Z,41.20368,29.06957,14.4
speed,2021-08-18T17:11:37Z,41.20387,29.06955,14.5
speed,2021-08-18T17:11:36Z,41.20394,29.06954,14.9
speed,2021-08-18T17:11:32Z,41.20421,29.06955,16.3
speed,2021-08-18T17:11:28Z,41.20449,29.0696,13.2
speed,2021-08-18T17:11:24Z,41.20469,29.06973,10.5
speed,2021-08-18T17:11:20Z,41.20485,29.06987,10.5
speed,2021-08-18T17:11:15Z,41.20496,29.07001,4.8
speed,2021-08-18T17:11:11Z,41.20505,29.07015,10.4
speed,2021-08-18T17:11:07Z,41.20514,29.07042,13.4
speed,2021-08-18T17:11:03Z,41.2052,29.07074,13.4
speed,2021-08-18T17:10:59Z,41.2052,29.07109,14.9
speed,2021-08-18T17:10:55Z,41.2052,29.07143,11.8
speed,2021-08-18T17:10:51Z,41.2052,29.07173,7.5
speed,2021-08-18T17:10:46Z,41.20521,29.07189,9.4
speed,2021-08-18T17:10:42Z,41.20527,29.0721,9.8
speed,2021-08-18T17:10:38Z,41.20545,29.07216,9.5
speed,2021-08-18T17:10:36Z,41.20554,29.07218,10
speed,2021-08-18T17:10:34Z,41.20562,29.07224,9.3
speed,2021-08-18T17:10:30Z,41.20576,29.0724,9.9
speed,2021-08-18T17:10:26Z,41.20596,29.07248,7.4
speed,2021-08-18T17:10:21Z,41.20609,29.07248,6.4
speed,2021-08-18T17:10:17Z,41.20622,29.07263,8.9
speed,2021-08-18T17:10:13Z,41.20623,29.07281,4.4
speed,2021-08-18T17:10:09Z,41.20624,29.07298,8.6
speed,2021-08-18T17:10:05Z,41.20626,29.0732,8.9
speed,2021-08-18T17:10:01Z,41.20627,29.07339,4.1
speed,2021-08-18T17:09:56Z,41.20627,29.07352,5.2
speed,2021-08-18T17:09:52Z,41.2063,29.07365,6
speed,2021-08-18T17:09:48Z,41.2063,29.07374,0
speed,2021-08-18T17:09:44Z,41.2063,29.07374,0
speed,2021-08-18T17:09:40Z,41.20629,29.07373,0.2
speed,2021-08-18T17:09:36Z,41.20632,29.07372,3.6
speed,2021-08-18T17:09:35Z,41.20632,29.07372,3.1
speed,2021-08-18T17:09:31Z,41.20634,29.07374,2.8
speed,2021-08-18T17:09:27Z,41.20635,29.07368,0
